,index,Year,Team1,Seed1,Score1,Team2,Seed2,Round,Score2,G1,MP1,FG1,FGA1,FG%1,FT1,FTA1,FT%1,TRB1,AST1,STL1,BLK1,TOV1,PF1,PTS1,G2,MP2,FG2,FGA2,FG%2,FT2,FTA2,FT%2,TRB2,AST2,STL2,BLK2,TOV2,PF2,PTS2,2P1,2PA1,2P%1,3P1,3PA1,3P%1,2P2,2PA2,2P%2,3P2,3PA2,3P%2,ORB1,DRB1,ORB2,DRB2,spread,winner
848,0,1988,Temple,1,87,Lehigh,16,0,73,34.0,,27.6,60.3,0.45799999999999996,15.3,20.7,0.7390000000000001,38.7,14.7,6.4,5.4,9.0,15.4,76.8,31.0,,28.8,58.7,0.49,20.4,28.2,0.7240000000000001,37.1,15.3,6.5,2.2,11.8,18.7,82.0,21.3,44.8,0.474,6.3,15.5,0.409,24.7,48.7,0.506,4.1,10.0,0.41100000000000003,,,,,14,Team1
849,1,1988,Lehigh,16,73,Temple,1,0,87,31.0,,28.8,58.7,0.49,20.4,28.2,0.7240000000000001,37.1,15.3,6.5,2.2,11.8,18.7,82.0,34.0,,27.6,60.3,0.45799999999999996,15.3,20.7,0.7390000000000001,38.7,14.7,6.4,5.4,9.0,15.4,76.8,24.7,48.7,0.506,4.1,10.0,0.41100000000000003,21.3,44.8,0.474,6.3,15.5,0.409,,,,,-14,Team2
850,2,1988,Georgetown,8,66,LSU,9,0,63,30.0,,27.6,61.0,0.452,12.7,21.2,0.602,39.2,14.4,10.6,3.8,14.3,21.3,71.9,30.0,,26.6,57.7,0.461,14.3,20.4,0.703,36.0,15.6,7.3,1.8,14.7,19.6,70.4,23.5,49.4,0.47600000000000003,4.1,11.6,0.35100000000000003,23.7,49.1,0.483,2.9,8.7,0.335,,,,,3,Team1
851,3,1988,LSU,9,63,Georgetown,8,0,66,30.0,,26.6,57.7,0.461,14.3,20.4,0.703,36.0,15.6,7.3,1.8,14.7,19.6,70.4,30.0,,27.6,61.0,0.452,12.7,21.2,0.602,39.2,14.4,10.6,3.8,14.3,21.3,71.9,23.7,49.1,0.483,2.9,8.7,0.335,23.5,49.4,0.47600000000000003,4.1,11.6,0.35100000000000003,,,,,-3,Team2
852,4,1988,Georgia Tech,5,90,Iowa State,12,0,78,32.0,,31.1,61.9,0.503,14.6,20.3,0.721,35.3,21.3,7.4,2.9,14.8,16.3,81.7,32.0,,34.4,71.1,0.484,16.4,22.8,0.718,39.1,21.7,9.2,3.8,15.3,20.7,90.2,26.3,50.5,0.521,4.8,11.4,0.423,29.3,56.9,0.515,5.1,14.2,0.35700000000000004,,,,,12,Team1
853,5,1988,Iowa State,12,78,Georgia Tech,5,0,90,32.0,,34.4,71.1,0.484,16.4,22.8,0.718,39.1,21.7,9.2,3.8,15.3,20.7,90.2,32.0,,31.1,61.9,0.503,14.6,20.3,0.721,35.3,21.3,7.4,2.9,14.8,16.3,81.7,29.3,56.9,0.515,5.1,14.2,0.35700000000000004,26.3,50.5,0.521,4.8,11.4,0.423,,,,,-12,Team2
854,6,1988,Indiana,4,69,Richmond,13,0,72,29.0,,30.2,58.7,0.515,15.4,20.9,0.738,33.0,16.9,6.0,4.5,13.2,18.7,78.8,33.0,,26.0,51.8,0.502,13.8,22.5,0.614,33.4,17.1,5.8,1.8,12.1,17.1,69.4,27.3,52.5,0.52,2.9,6.2,0.467,22.5,43.8,0.514,3.5,8.0,0.43799999999999994,,,,,-3,Team2
855,7,1988,Richmond,13,72,Indiana,4,0,69,33.0,,26.0,51.8,0.502,13.8,22.5,0.614,33.4,17.1,5.8,1.8,12.1,17.1,69.4,29.0,,30.2,58.7,0.515,15.4,20.9,0.738,33.0,16.9,6.0,4.5,13.2,18.7,78.8,22.5,43.8,0.514,3.5,8.0,0.43799999999999994,27.3,52.5,0.52,2.9,6.2,0.467,,,,,3,Team1
856,8,1988,Missouri,6,80,Rhode Island,11,0,87,30.0,,32.1,61.8,0.52,19.3,28.2,0.685,41.9,18.4,7.9,2.7,14.5,19.2,87.0,35.0,,31.6,65.7,0.48100000000000004,19.3,26.3,0.737,37.3,15.7,9.9,3.8,14.1,20.0,86.5,28.7,53.7,0.535,3.4,8.2,0.42,27.7,56.2,0.494,3.9,9.5,0.408,,,,,-7,Team2
857,9,1988,Rhode Island,11,87,Missouri,6,0,80,35.0,,31.6,65.7,0.48100000000000004,19.3,26.3,0.737,37.3,15.7,9.9,3.8,14.1,20.0,86.5,30.0,,32.1,61.8,0.52,19.3,28.2,0.685,41.9,18.4,7.9,2.7,14.5,19.2,87.0,27.7,56.2,0.494,3.9,9.5,0.408,28.7,53.7,0.535,3.4,8.2,0.42,,,,,7,Team1
